Producto,Precio,Unidad,codigo
Cajón naranja,14000,cajón,cajon-naranja
Naranja,1000,kg,naranja
Limón,2000,kg,limon
Palta,12000,kg,palta
Rúcula,800,unidad,rucula
Tomate,3500,kg,tomate
Tomate cherry,7000,kg,tomate-cherry
Albahaca,2000,unidad,albahaca
Champiñón,8000,paquete,champinon
Manzana verde,3500,kg,manzana-verde
Manzana roja,3500,kg,manzana-roja
Cebolla,1800,kg,cebolla
Papa,2000,kg,papa
Banana,3000,kg,banana
Zanahoria,2500,kg,zanahoria
Kiwi,9000,kg,kiwi
Lechuga francesa,6000,kg,lechuga-francesa
Frutilla,11000,kg,frutilla
Menta,3000,unidad,menta
Morrón rojo,6300,kg,morron-rojo
Acelga,900,unidad,acelga
Verdeo,6000,paquete,verdeo
Berenjena,3200,kg,berenjena
Pera,3000,kg,pera
Huevo maple N1,7500,maple,huevo
Zucchini,5800,kg,zucchini
Cabutia,3900,unidad,cabutia
Calabaza,3500,unidad,calabaza
Pepino,3000,kg,pepino
Espinaca,3000,unidad,espinaca
